Date,Details,Transaction Type,Price
10/30/2020,RPS*THE DORIC ON LA,Debit Card,-143.33
10/30/2020,DEPOSIT,Deposit,140.00
10/29/2020,INSTACART,Debit Card,-68.04
10/29/2020,PAYPAL *POD INC.,Debit Card,-35.32
10/28/2020,INTERNATIONAL TRANSACTION FEE,Fee,-0.72
10/28/2020,VENMO            PAYMENT,Electronic Debit,-31.17
10/28/2020,VENMO            PAYMENT,Electronic Debit,-3.83
10/28/2020,VENMO,Debit Card,-60.00
10/28/2020,PAYPAL *STEAM GAMES,Debit Card,-32.24
10/28/2020,PAYPAL *BASEMARKETI SH,Debit Card,-6.16
10/28/2020,VENMO,Debit Card,-8.00
10/28/2020,VENMO,Debit Card,-30.00
10/28/2020,PAYPAL *G2ACOMLIMIT,Debit Card,-24.13
10/28/2020,DEPOSIT,Deposit,200.00
10/27/2020,APPLE.COM/BILL,Debit Card,-8.59
10/27/2020,LYFT   *RIDE SUN 12AM,Debit Card,-0.53
10/27/2020,MONEYSEND TRANS     PAYPAL*Fan,Credit 3,1.86
10/27/2020,TD AMERITRADE    ACH OUT,Direct Deposit,342.91
10/26/2020,VENMO            PAYMENT,Electronic Debit,-13.34
10/26/2020,Acorns Invest    Transfer,Electronic Debit,-6.77
10/26/2020,VENMO            PAYMENT,Electronic Debit,-2.22
10/26/2020,LYFT   *RIDE FRI 11PM,Debit Card,-9.49
10/26/2020,VENMO,Debit Card,-6.70
10/26/2020,VENMO,Debit Card,-30.00
10/26/2020,INTERNET TFR FRM SAVINGS,Transfer,2.00
10/26/2020,RTP Credit RCVD from VENMO,RTP,29.70
10/23/2020,VENMO            PAYMENT,Electronic Debit,-14.24
10/23/2020,VENMO            PAYMENT,Electronic Debit,-2.50
10/23/2020,WENDY'S 103,Debit Card,-4.09
10/23/2020,CHEGG  ORDER,Debit Card,-16.07
10/23/2020,MONEYSEND TRANS     Cash App*C,Credit 3710,1.25
10/23/2020,RTP Credit RCVD from VENMO,RTP,7.68
10/23/2020,TD AMERITRADE    ACH OUT,Direct Deposit,17.87
10/22/2020,SHELL SERVICE S,ATM/POS 324101,-6.67
10/21/2020,VENMO            PAYMENT,Electronic Debit,-13.51
10/21/2020,VENMO            PAYMENT,Electronic Debit,-12.94
10/21/2020,VENMO            PAYMENT,Electronic Debit,-2.16
10/21/2020,VENMO            PAYMENT,Electronic Debit,-2.00
10/21/2020,DEPOSIT,Deposit,100.00
10/20/2020,VENMO            PAYMENT,Electronic Debit,-19.38
10/20/2020,VENMO            PAYMENT,Electronic Debit,-13.49
10/20/2020,VENMO            PAYMENT,Electronic Debit,-2.24
10/20/2020,VENMO            PAYMENT,Electronic Debit,-1.50
10/20/2020,VENMO,Debit Card,-75.00
10/20/2020,CASH APP*MARK PINTO,Debit Card,-40.00
10/20/2020,VENMO,Debit Card,-80.00
10/20/2020,VENMO            CASHOUT,Direct Deposit,20.00
10/19/2020,INTERNATIONAL TRANSACTION FEE,Fee,-0.68
10/19/2020,VENMO            PAYMENT,Electronic Debit,-23.75
10/19/2020,VENMO            PAYMENT,Electronic Debit,-17.22
10/19/2020,VENMO            PAYMENT,Electronic Debit,-17.08
10/19/2020,VENMO            PAYMENT,Electronic Debit,-3.95
10/19/2020,VENMO            PAYMENT,Electronic Debit,-3.10
10/19/2020,VENMO            PAYMENT,Electronic Debit,-2.63
10/19/2020,VENMO,Debit Card,-5.00
10/19/2020,PAYPAL *TEBEX,Debit Card,-22.50
10/19/2020,AMZN MKTP US*2T0MS8ZN0,Debit Card,-39.76
10/19/2020,RTP Credit RCVD from VENMO,RTP,37.13
10/19/2020,MONEYSEND TRANS     Cash App*C,Credit 2501,39.40
10/19/2020,VENMO            CASHOUT,Direct Deposit,40.00
10/16/2020,RIOT* AN07DKXUBKX3,Debit Card,-10.74
10/16/2020,VENMO,Debit Card,-13.00
10/16/2020,BLIZZARD ENTERTAINMENT,Debit Card,-64.49
10/15/2020,VENMO            PAYMENT,Electronic Debit,-13.20
10/15/2020,VENMO            PAYMENT,Electronic Debit,-2.35
10/15/2020,AMZN MKTP US*MK8W07RF2,Debit Card,-67.54
10/15/2020,AMZN MKTP US*MK11F59R2,Debit Card,-9.66
10/14/2020,VENMO            PAYMENT,Electronic Debit,-12.88
10/14/2020,VENMO            PAYMENT,Electronic Debit,-2.30
10/14/2020,AMZN MKTP US*2T6DE2CG1,Debit Card,-63.10
10/14/2020,AMAZON.COM*MK1WE69K2,Debit Card,-67.11
10/14/2020,MERCHANDISE RET     EA *ORIGIN,Debit Card,63.59
10/14/2020,DEPOSIT,Deposit,200.00
10/13/2020,VENMO            PAYMENT,Electronic Debit,-16.18
10/13/2020,VENMO            PAYMENT,Electronic Debit,-2.00
10/13/2020,Subscription     Acorns,Electronic Debit,-2.00
10/13/2020,EA *ORIGIN.COM,Debit Card,-63.59
